GEOID,Population,Black,Hispanic,Asian,Householdincome,Bachelor,Households_num,Ageunder5,Age5to9,Age10to14,Age15to24,Age25to44,Age45to64,Age65to74,Age75plus,Employment,No_vehicle,Vehicle_owned,Public_transportation,person_per_room1,person_per_room2
1001,58239,11470,1775,647,62660.0,6507,21856,3318,3716,4004,7587,15178,15621,5218,3597,25871,1182,20674,144,21534,322
1003,227131,19895,10634,2175,64346.0,33379,87190,12035,11730,16407,24982,52642,62530,28670,18135,104367,2128,85062,133,85919,1271
1005,25259,11985,1176,106,36422.0,1212,9088,1320,1601,1422,2921,6744,6450,2884,1917,8561,1017,8071,7,8690,398
1007,22412,5003,634,46,54277.0,1276,7083,1196,1274,1230,2655,6396,6067,2144,1450,8223,448,6635,0,7020,63
1009,58884,760,5612,216,52830.0,3783,21300,3467,3578,4194,6977,14169,15915,6235,4349,24244,963,20337,30,20876,424
1011,10386,7164,888,46,29063.0,560,3419,558,622,884,1445,2455,2740,1025,657,3818,446,2973,0,3393,26
1013,19181,8592,308,280,45236.0,1087,6531,1087,1073,1470,2167,4615,4777,2361,1631,7567,364,6167,9,6496,35
1015,116425,25017,4650,876,50977.0,9159,44295,6716,6632,7469,15345,29150,30530,12601,7982,49073,2638,41657,299,43600,695
1017,34834,13977,946,358,47232.0,2383,13123,2056,1815,2171,3964,8248,9752,4226,2602,15478,877,12246,49,12329,794
1019,24975,1167,442,37,43475.0,1148,9692,1089,1445,1365,2640,5205,7521,3453,2257,9794,353,9339,65,9591,101
1021,44857,3959,3567,210,56243.0,2413,16562,2710,3026,3063,5524,11277,11885,4475,2897,17690,560,16002,0,16080,482
1023,12792,5284,138,15,38581.0,750,5211,700,531,865,1415,2665,3700,1660,1256,4563,336,4875,0,5157,54
1025,23346,10593,326,105,44108.0,1379,8250,1435,1215,1585,2842,5283,6378,2577,2031,7941,733,7517,0,8140,110
1027,14184,1883,443,35,45163.0,885,5399,744,699,1076,1696,3100,4008,1605,1256,5433,349,5050,0,5287,112
1029,15046,391,398,1,48333.0,1288,5598,865,1042,951,1629,3552,4119,1700,1188,5768,386,5212,0,5483,115
1031,53043,8992,4282,762,59034.0,5130,20478,3212,3017,4192,6459,13537,13662,5419,3545,21592,886,19592,4,20069,409
1033,56789,9301,1750,256,52017.0,4484,22640,3182,3283,3601,6333,13705,15548,6509,4628,25007,902,21738,29,22389,251
1035,11778,5664,16,44,37986.0,585,4187,508,608,939,1058,2735,3242,1619,1069,4061,299,3888,11,4152,35
1037,10442,3204,274,0,50013.0,639,3824,465,313,559,940,2258,3431,1579,897,4128,91,3733,0,3730,94
1039,37490,4621,693,230,46186.0,2509,14296,2120,2294,2450,4205,8368,10208,4423,3422,15111,740,13556,0,14010,286
1041,13300,3258,111,174,43103.0,1070,4653,726,817,932,1544,3123,3596,1580,982,5225,362,4291,40,4613,40
1043,87129,979,3939,311,52690.0,6516,32939,5290,5252,5688,10336,21176,23520,9543,6324,38563,1078,31861,2,32349,590
